Period,suvs
2004-01,95
2004-02,91
2004-03,89
2004-04,94
2004-05,94
2004-06,94
2004-07,97
2004-08,100
2004-09,98
2004-10,89
2004-11,84
2004-12,87
2005-01,89
2005-02,91
2005-03,87
2005-04,84
2005-05,83
2005-06,86
2005-07,94
2005-08,91
2005-09,79
2005-10,78
2005-11,75
2005-12,77
2006-01,79
2006-02,78
2006-03,79
2006-04,79
2006-05,78
2006-06,81
2006-07,86
2006-08,87
2006-09,78
2006-10,73
2006-11,71
2006-12,73
2007-01,73
2007-02,79
2007-03,74
2007-04,75
2007-05,74
2007-06,71
2007-07,78
2007-08,81
2007-09,74
2007-10,68
2007-11,66
2007-12,68
2008-01,68
2008-02,72
2008-03,69
2008-04,67
2008-05,66
2008-06,64
2008-07,63
2008-08,64
2008-09,59
2008-10,57
2008-11,57
2008-12,60
2009-01,59
2009-02,58
2009-03,59
2009-04,59
2009-05,58
2009-06,57
2009-07,62
2009-08,65
2009-09,56
2009-10,54
2009-11,52
2009-12,56
2010-01,56
2010-02,58
2010-03,57
2010-04,56
2010-05,53
2010-06,54
2010-07,61
2010-08,61
2010-09,56
2010-10,54
2010-11,53
2010-12,55
2011-01,68
2011-02,69
2011-03,65
2011-04,65
2011-05,62
2011-06,64
2011-07,68
2011-08,69
2011-09,64
2011-10,63
2011-11,60
2011-12,64
2012-01,66
2012-02,67
2012-03,66
2012-04,67
2012-05,65
2012-06,67
2012-07,71
2012-08,73
2012-09,68
2012-10,63
2012-11,61
2012-12,66
2013-01,66
2013-02,70
2013-03,68
2013-04,66
2013-05,65
2013-06,66
2013-07,71
2013-08,71
2013-09,64
2013-10,62
2013-11,61
2013-12,62
2014-01,64
2014-02,67
2014-03,67
2014-04,67
2014-05,64
2014-06,64
2014-07,65
2014-08,67
2014-09,62
2014-10,61
2014-11,60
2014-12,59
2015-01,61
2015-02,66
2015-03,62
2015-04,61
2015-05,59
2015-06,60
2015-07,65
2015-08,64
2015-09,59
2015-10,57
2015-11,56
2015-12,57
2016-01,80
2016-02,84
2016-03,83
2016-04,80
2016-05,82
2016-06,84
2016-07,89
2016-08,89
2016-09,86
2016-10,82
2016-11,78
2016-12,86
2017-01,86
2017-02,86
2017-03,88
2017-04,86
2017-05,86
2017-06,92
2017-07,95
2017-08,95
2017-09,90
2017-10,87
2017-11,88
2017-12,89
2018-01,88
2018-02,91
2018-03,93
2018-04,91
2018-05,90
2018-06,91
2018-07,97
2018-08,99
2018-09,86
2018-10,82
2018-11,85
2018-12,90
2019-01,89
2019-02,93
2019-03,96
2019-04,94
2019-05,91
2019-06,95
2019-07,95
2019-08,100
2019-09,91
2019-10,87
2019-11,88
2019-12,91
2020-01,88
2020-02,90
2020-03,75
2020-04,74
2020-05,90
2020-06,95
