Period,nsa,sf,sa,sa_4week
1/7/1967,346000,167,208000,0
1/14/1967,334000,162,207000,0
1/21/1967,277000,128,217000,0
1/28/1967,252000,124,204000,209000
2/4/1967,274000,127,216000,211000
2/11/1967,276000,120,229000,216500
2/18/1967,247000,108,229000,219500
2/25/1967,248000,103,242000,229000
3/4/1967,326000,105,310000,252500
3/11/1967,240000,100,241000,255500
3/18/1967,225000,92,245000,259500
3/25/1967,215000,87,247000,260750
4/1/1967,223000,86,259000,248000
4/8/1967,251000,98,257000,252000
4/15/1967,289000,97,299000,265500
4/22/1967,218000,89,245000,265000
4/29/1967,216000,85,255000,264000
5/6/1967,221000,87,254000,263250
5/13/1967,188000,82,231000,246250
5/20/1967,177000,77,230000,242500
5/27/1967,170000,75,228000,235750
6/3/1967,175000,71,248000,234250
6/10/1967,188000,79,238000,236000
6/17/1967,176000,79,224000,234500
6/24/1967,178000,82,218000,232000
7/1/1967,206000,99,209000,222250
7/8/1967,322000,135,240000,222750
7/15/1967,309000,128,241000,227000
7/22/1967,282000,118,240000,232500
7/29/1967,243000,116,209000,232500
8/5/1967,250000,114,221000,227750
8/12/1967,193000,96,202000,218000
8/19/1967,174000,81,215000,211750
8/26/1967,160000,76,213000,212750
9/2/1967,163000,75,218000,212000
9/9/1967,156000,68,231000,219250
9/16/1967,165000,75,220000,220500
9/23/1967,155000,74,209000,219500
9/30/1967,154000,76,204000,216000
10/7/1967,195000,84,231000,216000
10/14/1967,159000,77,206000,212500
10/21/1967,181000,81,223000,216000
10/28/1967,174000,84,207000,216750
11/4/1967,204000,92,222000,214500
11/11/1967,201000,94,214000,216500
11/18/1967,209000,105,198000,210250
11/25/1967,200000,105,191000,206250
12/2/1967,228000,117,196000,199750
12/9/1967,258000,117,221000,201500
12/16/1967,241000,119,204000,203000
12/23/1967,289000,132,219000,210000
12/30/1967,332000,154,216000,215000
1/6/1968,357000,161,222000,215250
1/13/1968,373000,168,222000,219750
1/20/1968,293000,133,221000,220250
1/27/1968,242000,123,198000,215750
2/3/1968,308000,127,244000,221250
2/10/1968,257000,123,210000,218250
2/17/1968,214000,110,196000,212000
2/24/1968,199000,103,193000,210750
3/2/1968,198000,104,190000,197250
3/9/1968,208000,102,204000,195750
3/16/1968,179000,94,190000,194250
3/23/1968,175000,88,200000,196000
3/30/1968,165000,86,192000,196500
4/6/1968,184000,96,191000,193250
4/13/1968,167000,98,171000,188500
4/20/1968,165000,90,183000,184250
4/27/1968,216000,86,251000,199000
5/4/1968,180000,87,209000,203500
5/11/1968,164000,85,194000,209250
5/18/1968,156000,78,199000,213250
5/25/1968,148000,77,194000,199000
6/1/1968,139000,70,199000,196500
6/8/1968,149000,78,192000,196000
6/15/1968,154000,79,194000,194750
6/22/1968,152000,81,189000,193500
6/29/1968,173000,90,194000,192250
7/6/1968,266000,124,214000,197750
7/13/1968,242000,131,186000,195750
7/20/1968,216000,120,180000,193500
7/27/1968,238000,116,205000,196250
8/3/1968,235000,114,206000,194250
8/10/1968,222000,102,218000,202250
8/17/1968,160000,84,192000,205250
8/24/1968,148000,77,193000,202250
8/31/1968,139000,74,188000,197750
9/7/1968,135000,72,189000,190500
9/14/1968,141000,73,195000,191250
9/21/1968,142000,75,191000,190750
9/28/1968,143000,76,189000,191000
10/5/1968,153000,83,185000,190000
10/12/1968,151000,81,186000,187750
10/19/1968,151000,79,191000,187750
10/26/1968,152000,84,182000,186000
11/2/1968,161000,90,181000,185000
11/9/1968,174000,95,183000,184250
11/16/1968,196000,102,192000,184500
11/23/1968,211000,106,199000,188750
11/30/1968,180000,111,162000,184000
12/7/1968,223000,119,188000,185250
12/14/1968,233000,119,195000,186000
12/21/1968,243000,127,192000,184250
12/28/1968,333000,149,223000,199500
1/4/1969,290000,153,190000,200000
1/11/1969,337000,177,191000,199000
1/18/1969,265000,139,192000,199000
1/25/1969,236000,123,193000,191500
2/1/1969,250000,123,203000,194750
2/8/1969,248000,126,197000,196250
2/15/1969,219000,115,192000,196250
2/22/1969,199000,104,192000,196000
3/1/1969,206000,103,201000,195500
3/8/1969,195000,102,191000,194000
3/15/1969,179000,95,189000,193250
3/22/1969,158000,88,181000,190500
3/29/1969,157000,86,183000,186000
4/5/1969,170000,94,182000,183750
4/12/1969,187000,98,190000,184000
4/19/1969,168000,90,187000,185500
4/26/1969,151000,86,177000,184000
5/3/1969,150000,85,177000,182750
5/10/1969,157000,86,183000,181000
5/17/1969,141000,79,179000,179000
5/24/1969,138000,77,180000,179750
5/31/1969,135000,72,187000,182250
6/7/1969,148000,77,192000,184500
6/14/1969,145000,80,182000,185250
6/21/1969,155000,82,191000,188000
6/28/1969,177000,88,203000,192000
7/5/1969,267000,118,227000,200750
7/12/1969,271000,130,210000,207750
7/19/1969,246000,120,206000,211500
7/26/1969,221000,116,192000,208750
8/2/1969,223000,114,196000,201000
8/9/1969,210000,104,203000,199250
8/16/1969,168000,85,199000,197500
8/23/1969,154000,78,199000,199250
8/30/1969,144000,74,195000,199000
9/6/1969,133000,74,182000,193750
9/13/1969,149000,72,209000,196250
9/20/1969,147000,76,195000,195250
9/27/1969,147000,77,193000,194750
10/4/1969,159000,82,193000,197500
10/11/1969,168000,85,200000,195250
10/18/1969,155000,78,199000,196250
10/25/1969,171000,84,205000,199250
11/1/1969,174000,88,198000,200500
11/8/1969,206000,97,211000,203250
11/15/1969,196000,100,197000,202750
11/22/1969,230000,106,217000,205750
11/29/1969,219000,108,202000,206750
12/6/1969,247000,122,202000,204500
12/13/1969,264000,120,222000,210750
12/20/1969,289000,125,232000,214500
12/27/1969,320000,144,223000,219750
1/3/1970,344000,150,230000,226750
1/10/1970,429000,178,242000,231750
1/17/1970,386000,144,268000,240750
1/24/1970,316000,124,256000,249000
1/31/1970,293000,123,239000,251250
2/7/1970,324000,127,256000,254750
2/14/1970,308000,116,265000,254000
2/21/1970,285000,105,271000,257750
2/28/1970,241000,100,242000,258500
3/7/1970,270000,103,262000,260000
3/14/1970,258000,95,271000,261500
3/21/1970,233000,88,264000,259750
3/28/1970,236000,86,276000,268250
4/4/1970,250000,92,273000,271000
4/11/1970,300000,99,305000,279500
4/18/1970,339000,91,374000,307000
4/25/1970,299000,86,349000,325250
5/2/1970,278000,83,334000,340500
5/9/1970,279000,88,318000,343750
