
Month,Geo: United States
2004-01,63
2004-02,57
2004-03,52
2004-04,54
2004-05,48
2004-06,48
2004-07,52
2004-08,51
2004-09,48
2004-10,49
2004-11,47
2004-12,45
2005-01,51
2005-02,52
2005-03,48
2005-04,46
2005-05,45
2005-06,46
2005-07,46
2005-08,46
2005-09,47
2005-10,47
2005-11,43
2005-12,43
2006-01,51
2006-02,46
2006-03,43
2006-04,44
2006-05,42
2006-06,45
2006-07,45
2006-08,46
2006-09,42
2006-10,43
2006-11,42
2006-12,42
2007-01,51
2007-02,46
2007-03,43
2007-04,45
2007-05,42
2007-06,41
2007-07,46
2007-08,43
2007-09,42
2007-10,44
2007-11,41
2007-12,42
2008-01,50
2008-02,46
2008-03,44
2008-04,47
2008-05,42
2008-06,46
2008-07,51
2008-08,50
2008-09,54
2008-10,56
2008-11,59
2008-12,67
2009-01,76
2009-02,75
2009-03,74
2009-04,70
2009-05,65
2009-06,67
2009-07,72
2009-08,74
2009-09,67
2009-10,72
2009-11,72
2009-12,69
2010-01,74
2010-02,70
2010-03,74
2010-04,71
2010-05,63
2010-06,78
2010-07,100
2010-08,71
2010-09,63
2010-10,62
2010-11,63
2010-12,74
2011-01,86
2011-02,72
2011-03,68
2011-04,70
2011-05,67
2011-06,70
2011-07,72
