Category: Welfare & Unemployment

Month,Geo: United States
2004-01,16
2004-02,16
2004-03,14
2004-04,15
2004-05,13
2004-06,13
2004-07,14
2004-08,13
2004-09,13
2004-10,13
2004-11,13
2004-12,12
2005-01,15
2005-02,14
2005-03,13
2005-04,13
2005-05,12
2005-06,12
2005-07,12
2005-08,12
2005-09,13
2005-10,13
2005-11,12
2005-12,12
2006-01,13
2006-02,12
2006-03,12
2006-04,12
2006-05,11
2006-06,12
2006-07,12
2006-08,12
2006-09,11
2006-10,12
2006-11,11
2006-12,11
2007-01,14
2007-02,12
2007-03,11
2007-04,13
2007-05,11
2007-06,11
2007-07,12
2007-08,12
2007-09,11
2007-10,12
2007-11,11
2007-12,11
2008-01,14
2008-02,12
2008-03,12
2008-04,13
2008-05,11
2008-06,12
2008-07,14
2008-08,13
2008-09,15
2008-10,15
2008-11,16
2008-12,18
2009-01,21
2009-02,20
2009-03,20
2009-04,19
2009-05,17
2009-06,18
2009-07,19
2009-08,19
2009-09,18
2009-10,19
2009-11,20
2009-12,19
2010-01,20
2010-02,19
2010-03,20
2010-04,19
2010-05,17
2010-06,21
2010-07,26
2010-08,20
2010-09,17
2010-10,16
2010-11,17
2010-12,20
2011-01,23
2011-02,20
2011-03,18
2011-04,19
2011-05,18
2011-06,19
2011-07,20
2011-08,20
2011-09,19
2011-10,19
2011-11,18
2011-12,19
2012-01,22
2012-02,19
2012-03,17
2012-04,19
2012-05,18
2012-06,18
2012-07,19
2012-08,18
2012-09,18
2012-10,18
2012-11,18
2012-12,18
2013-01,20
2013-02,17
2013-03,15
2013-04,16
2013-05,15
2013-06,15
2013-07,16
2013-08,16
2013-09,16
2013-10,18
2013-11,14
2013-12,16
2014-01,20
2014-02,17
2014-03,17
2014-04,17
2014-05,14
2014-06,13
2014-07,12
2014-08,11
2014-09,11
2014-10,11
2014-11,10
2014-12,11
2015-01,11
2015-02,10
2015-03,10
2015-04,10
2015-05,9
2015-06,9
2015-07,10
2015-08,10
2015-09,9
2015-10,9
2015-11,9
2015-12,10
2016-01,14
2016-02,13
2016-03,12
2016-04,12
2016-05,12
2016-06,12
2016-07,12
2016-08,13
2016-09,12
2016-10,12
2016-11,12
2016-12,12
2017-01,15
2017-02,13
2017-03,12
2017-04,12
2017-05,12
2017-06,12
2017-07,12
2017-08,13
2017-09,13
2017-10,13
2017-11,12
2017-12,12
2018-01,14
2018-02,13
2018-03,11
2018-04,12
2018-05,11
2018-06,11
2018-07,12
2018-08,11
2018-09,10
2018-10,11
2018-11,11
2018-12,11
2019-01,14
2019-02,12
2019-03,11
2019-04,11
2019-05,11
2019-06,11
2019-07,12
2019-08,11
2019-09,11
2019-10,11
2019-11,11
2019-12,12
2020-01,13
2020-02,12
2020-03,47
2020-04,100
2020-05,73
2020-06,63
