Period,Value
1/1/2004,61146
2/1/2004,65230
3/1/2004,78662
4/1/2004,73252
5/1/2004,77491
6/1/2004,75355
7/1/2004,78837
8/1/2004,76377
9/1/2004,73580
10/1/2004,68745
11/1/2004,65221
12/1/2004,72476
1/1/2005,61936
2/1/2005,66945
3/1/2005,80609
4/1/2005,77669
5/1/2005,78327
6/1/2005,85378
7/1/2005,87710
8/1/2005,81220
9/1/2005,69412
10/1/2005,63594
11/1/2005,64845
12/1/2005,70662
1/1/2006,65737
2/1/2006,67452
3/1/2006,82754
4/1/2006,76180
5/1/2006,81517
6/1/2006,80599
7/1/2006,80889
8/1/2006,82997
9/1/2006,73000
10/1/2006,70365
11/1/2006,67512
12/1/2006,70995
1/1/2007,66585
2/1/2007,69373
3/1/2007,83833
4/1/2007,77265
5/1/2007,85183
6/1/2007,79824
7/1/2007,79097
8/1/2007,84633
9/1/2007,73470
10/1/2007,74461
11/1/2007,67344
12/1/2007,69071
1/1/2008,65843
2/1/2008,69030
3/1/2008,76614
4/1/2008,73736
5/1/2008,76127
6/1/2008,69428
7/1/2008,69677
8/1/2008,69676
9/1/2008,60489
10/1/2008,55026
11/1/2008,47866
12/1/2008,52353
1/1/2009,50093
2/1/2009,50006
3/1/2009,57133
4/1/2009,55939
5/1/2009,57732
6/1/2009,59522
7/1/2009,62300
8/1/2009,66182
9/1/2009,52123
10/1/2009,54866
11/1/2009,50024
12/1/2009,55852
1/1/2010,49870
2/1/2010,51822
3/1/2010,67448
4/1/2010,64368
5/1/2010,65243
6/1/2010,64700
7/1/2010,67006
8/1/2010,66074
9/1/2010,61654
10/1/2010,61386
11/1/2010,58830
12/1/2010,64512
1/1/2011,57881
2/1/2011,62575
3/1/2011,75168
4/1/2011,69542
5/1/2011,69277
6/1/2011,70201
7/1/2011,69178
8/1/2011,71295
9/1/2011,66956
10/1/2011,65913
11/1/2011,63968
12/1/2011,70984
1/1/2012,62268
2/1/2012,70329
3/1/2012,81157
4/1/2012,73491
5/1/2012,79796
6/1/2012,75954
7/1/2012,75239
8/1/2012,80728
9/1/2012,71318
10/1/2012,72301
11/1/2012,69694
12/1/2012,74219
1/1/2013,69337
2/1/2013,73035
3/1/2013,83637
4/1/2013,81495
5/1/2013,86702
6/1/2013,82571
7/1/2013,86006
8/1/2013,88654
9/1/2013,75491
10/1/2013,78782
11/1/2013,75389
12/1/2013,78195
1/1/2014,70382
2/1/2014,74954
3/1/2014,90488
4/1/2014,87959
5/1/2014,93239
6/1/2014,86715
7/1/2014,91275
8/1/2014,92624
9/1/2014,83365
10/1/2014,84334
11/1/2014,78968
12/1/2014,86548
1/1/2015,78427
2/1/2015,79512
3/1/2015,96419
4/1/2015,93672
5/1/2015,97424
6/1/2015,94600
7/1/2015,97756
8/1/2015,97898
9/1/2015,90772
10/1/2015,90400
11/1/2015,84094
12/1/2015,93138
1/1/2016,80100
2/1/2016,89308
3/1/2016,100254
4/1/2016,96838
5/1/2016,98082
6/1/2016,97700
7/1/2016,98961
8/1/2016,103307
9/1/2016,94749
10/1/2016,92033
11/1/2016,89366
12/1/2016,99916
1/1/2017,84235
2/1/2017,88434
3/1/2017,105183
4/1/2017,96332
5/1/2017,104569
6/1/2017,101574
7/1/2017,101141
8/1/2017,103617
9/1/2017,98778
10/1/2017,96179
11/1/2017,93524
12/1/2017,98801
1/1/2018,87048
2/1/2018,88542
3/1/2018,108350
4/1/2018,98248
5/1/2018,107939
6/1/2018,103701
7/1/2018,102680
8/1/2018,107191
9/1/2018,94975
10/1/2018,98046
11/1/2018,94379
12/1/2018,100222
1/1/2019,87114
2/1/2019,89009
3/1/2019,109845
4/1/2019,103156
5/1/2019,111772
6/1/2019,104743
7/1/2019,109269
8/1/2019,114659
9/1/2019,99537
10/1/2019,103801
11/1/2019,101101
12/1/2019,103463
1/1/2020,93268
2/1/2020,97859
3/1/2020,82677
4/1/2020,69889
5/1/2020,104684
6/1/2020,NA
7/1/2020,NA
8/1/2020,NA
9/1/2020,NA
10/1/2020,NA
11/1/2020,NA
12/1/2020,NA
