
Month,Geo: United States
2004-01,100
2004-02,96
2004-03,94
2004-04,97
2004-05,91
2004-06,90
2004-07,89
2004-08,91
2004-09,87
2004-10,81
2004-11,76
2004-12,70
2005-01,90
2005-02,88
2005-03,85
2005-04,82
2005-05,81
2005-06,79
2005-07,78
2005-08,84
2005-09,79
2005-10,76
2005-11,68
2005-12,63
2006-01,82
2006-02,78
2006-03,77
2006-04,78
2006-05,75
2006-06,76
2006-07,75
2006-08,77
2006-09,73
2006-10,71
2006-11,63
2006-12,57
2007-01,76
2007-02,72
2007-03,69
2007-04,72
2007-05,71
2007-06,68
2007-07,68
2007-08,70
2007-09,67
2007-10,67
2007-11,61
2007-12,55
2008-01,72
2008-02,66
2008-03,67
2008-04,68
2008-05,66
2008-06,65
2008-07,67
2008-08,66
2008-09,69
2008-10,67
2008-11,60
2008-12,56
2009-01,70
2009-02,66
2009-03,64
2009-04,63
2009-05,61
2009-06,60
2009-07,60
2009-08,62
2009-09,60
2009-10,58
2009-11,53
2009-12,47
2010-01,60
2010-02,57
2010-03,58
2010-04,57
2010-05,54
2010-06,57
2010-07,58
2010-08,59
2010-09,55
2010-10,52
2010-11,49
2010-12,44
2011-01,63
2011-02,60
2011-03,60
2011-04,62
2011-05,60
2011-06,63
2011-07,60
2011-08,64
2011-09,59
2011-10,57
2011-11,54
2011-12,48
2012-01,61
2012-02,58
2012-03,56
2012-04,59
2012-05,61
2012-06,58
2012-07,58
2012-08,61
2012-09,60
2012-10,58
2012-11,51
2012-12,46
2013-01,61
2013-02,56
2013-03,56
2013-04,59
2013-05,57
2013-06,58
2013-07,58
2013-08,59
2013-09,57
2013-10,56
2013-11,50
2013-12,45
2014-01,57
2014-02,54
2014-03,54
2014-04,57
2014-05,53
2014-06,54
2014-07,55
2014-08,57
2014-09,55
2014-10,53
2014-11,46
2014-12,44
2015-01,51
2015-02,50
2015-03,49
2015-04,49
2015-05,47
2015-06,47
2015-07,46
2015-08,47
2015-09,47
2015-10,44
2015-11,41
2015-12,39
2016-01,58
2016-02,58
2016-03,58
2016-04,58
2016-05,59
2016-06,58
2016-07,57
2016-08,61
2016-09,61
2016-10,58
2016-11,55
2016-12,51
2017-01,63
2017-02,62
2017-03,61
2017-04,61
2017-05,62
2017-06,63
2017-07,61
2017-08,64
2017-09,62
2017-10,62
2017-11,57
2017-12,51
2018-01,62
2018-02,59
2018-03,58
2018-04,60
2018-05,61
2018-06,60
2018-07,59
2018-08,61
2018-09,58
2018-10,59
2018-11,54
2018-12,50
2019-01,63
2019-02,61
2019-03,59
2019-04,60
2019-05,59
2019-06,59
2019-07,60
2019-08,62
2019-09,61
2019-10,60
2019-11,55
2019-12,51
2020-01,65
2020-02,59
2020-03,51
2020-04,45
2020-05,47
2020-06,51
