Month,Geo: United States
2004-01,97
2004-02,96
2004-03,92
2004-04,94
2004-05,93
2004-06,95
2004-07,100
2004-08,99
2004-09,100
2004-10,87
2004-11,84
2004-12,87
2005-01,90
2005-02,95
2005-03,90
2005-04,83
2005-05,84
2005-06,87
2005-07,94
2005-08,94
2005-09,79
2005-10,78
2005-11,75
2005-12,77
2006-01,81
2006-02,78
2006-03,80
2006-04,84
2006-05,77
2006-06,81
2006-07,88
2006-08,88
2006-09,78
2006-10,75
2006-11,71
2006-12,74
2007-01,74
2007-02,78
2007-03,77
2007-04,76
2007-05,74
2007-06,73
2007-07,80
2007-08,82
2007-09,74
2007-10,70
2007-11,66
2007-12,69
2008-01,70
2008-02,71
2008-03,70
2008-04,68
2008-05,67
2008-06,64
2008-07,64
2008-08,65
2008-09,61
2008-10,58
2008-11,57
2008-12,61
2009-01,61
2009-02,59
2009-03,58
2009-04,60
2009-05,57
2009-06,57
2009-07,63
2009-08,66
2009-09,56
2009-10,55
2009-11,53
2009-12,57
2010-01,56
2010-02,59
2010-03,58
2010-04,56
2010-05,55
2010-06,56
2010-07,60
2010-08,61
2010-09,57
2010-10,55
2010-11,53
2010-12,56
2011-01,68
2011-02,70
2011-03,67
2011-04,67
2011-05,65
2011-06,65
2011-07,69
