Period,nsa,sf,sa,sa_4week
1/7/1967,"346,000",166.5,"208,000",0
1/14/1967,"334,000",161.5,"207,000",0
1/21/1967,"277,000",127.8,"217,000",0
1/28/1967,"252,000",123.8,"204,000","209,000"
2/4/1967,"274,000",127.1,"216,000","211,000"
2/11/1967,"276,000",120.4,"229,000","216,500"
2/18/1967,"247,000",108.4,"229,000","219,500"
2/25/1967,"248,000",102.6,"242,000","229,000"
3/4/1967,"326,000",105.4,"310,000","252,500"
3/11/1967,"240,000",99.8,"241,000","255,500"
3/18/1967,"225,000",92,"245,000","259,500"
3/25/1967,"215,000",87.2,"247,000","260,750"
4/1/1967,"223,000",86.2,"259,000","248,000"
4/8/1967,"251,000",97.6,"257,000","252,000"
4/15/1967,"289,000",96.9,"299,000","265,500"
4/22/1967,"218,000",89.1,"245,000","265,000"
4/29/1967,"216,000",85,"255,000","264,000"
5/6/1967,"221,000",87.4,"254,000","263,250"
5/13/1967,"188,000",81.7,"231,000","246,250"
5/20/1967,"177,000",77.3,"230,000","242,500"
5/27/1967,"170,000",75,"228,000","235,750"
6/3/1967,"175,000",70.8,"248,000","234,250"
6/10/1967,"188,000",79.3,"238,000","236,000"
6/17/1967,"176,000",78.8,"224,000","234,500"
6/24/1967,"178,000",81.6,"218,000","232,000"
7/1/1967,"206,000",98.9,"209,000","222,250"
7/8/1967,"322,000",134.7,"240,000","222,750"
7/15/1967,"309,000",128.1,"241,000","227,000"
7/22/1967,"282,000",117.8,"240,000","232,500"
7/29/1967,"243,000",116.4,"209,000","232,500"
8/5/1967,"250,000",113.5,"221,000","227,750"
8/12/1967,"193,000",95.5,"202,000","218,000"
8/19/1967,"174,000",81.1,"215,000","211,750"
8/26/1967,"160,000",75.5,"213,000","212,750"
9/2/1967,"163,000",74.8,"218,000","212,000"
9/9/1967,"156,000",68,"231,000","219,250"
9/16/1967,"165,000",75.2,"220,000","220,500"
9/23/1967,"155,000",74.4,"209,000","219,500"
9/30/1967,"154,000",75.5,"204,000","216,000"
10/7/1967,"195,000",84.4,"231,000","216,000"
10/14/1967,"159,000",77.3,"206,000","212,500"
10/21/1967,"181,000",81.3,"223,000","216,000"
10/28/1967,"174,000",84,"207,000","216,750"
11/4/1967,"204,000",91.9,"222,000","214,500"
11/11/1967,"201,000",94.2,"214,000","216,500"
11/18/1967,"209,000",105.4,"198,000","210,250"
11/25/1967,"200,000",105.1,"191,000","206,250"
12/2/1967,"228,000",116.6,"196,000","199,750"
12/9/1967,"258,000",116.6,"221,000","201,500"
12/16/1967,"241,000",118.7,"204,000","203,000"
12/23/1967,"289,000",132.2,"219,000","210,000"
12/30/1967,"332,000",153.8,"216,000","215,000"
1/6/1968,"357,000",161,"222,000","215,250"
1/13/1968,"373,000",167.9,"222,000","219,750"
1/20/1968,"293,000",132.7,"221,000","220,250"
1/27/1968,"242,000",122.7,"198,000","215,750"
2/3/1968,"308,000",126.6,"244,000","221,250"
2/10/1968,"257,000",122.5,"210,000","218,250"
2/17/1968,"214,000",109.6,"196,000","212,000"
2/24/1968,"199,000",103.3,"193,000","210,750"
3/2/1968,"198,000",104.4,"190,000","197,250"
3/9/1968,"208,000",102.1,"204,000","195,750"
3/16/1968,"179,000",94.4,"190,000","194,250"
3/23/1968,"175,000",87.9,"200,000","196,000"
3/30/1968,"165,000",86,"192,000","196,500"
4/6/1968,"184,000",96.2,"191,000","193,250"
4/13/1968,"167,000",97.8,"171,000","188,500"
4/20/1968,"165,000",90.4,"183,000","184,250"
4/27/1968,"216,000",86.2,"251,000","199,000"
5/4/1968,"180,000",86.5,"209,000","203,500"
5/11/1968,"164,000",84.6,"194,000","209,250"
5/18/1968,"156,000",78.4,"199,000","213,250"
5/25/1968,"148,000",76.6,"194,000","199,000"
6/1/1968,"139,000",70.4,"199,000","196,500"
6/8/1968,"149,000",77.8,"192,000","196,000"
6/15/1968,"154,000",79.4,"194,000","194,750"
6/22/1968,"152,000",80.5,"189,000","193,500"
6/29/1968,"173,000",89.7,"194,000","192,250"
7/6/1968,"266,000",124.4,"214,000","197,750"
7/13/1968,"242,000",130.6,"186,000","195,750"
7/20/1968,"216,000",120.2,"180,000","193,500"
7/27/1968,"238,000",116.4,"205,000","196,250"
8/3/1968,"235,000",114.4,"206,000","194,250"
8/10/1968,"222,000",102.1,"218,000","202,250"
8/17/1968,"160,000",83.5,"192,000","205,250"
8/24/1968,"148,000",77.1,"193,000","202,250"
8/31/1968,"139,000",74,"188,000","197,750"
9/7/1968,"135,000",71.8,"189,000","190,500"
9/14/1968,"141,000",72.7,"195,000","191,250"
9/21/1968,"142,000",74.9,"191,000","190,750"
9/28/1968,"143,000",75.8,"189,000","191,000"
10/5/1968,"153,000",83.4,"185,000","190,000"
10/12/1968,"151,000",81.4,"186,000","187,750"
10/19/1968,"151,000",79.3,"191,000","187,750"
10/26/1968,"152,000",83.7,"182,000","186,000"
11/2/1968,"161,000",89.5,"181,000","185,000"
